owl_id,site,datetime,audio_id,duration,sampling_rate,channels,bit_depth,format,filepath_video,filepath_audio
172,有利砂石場,2024-03-04 01:37:59 UTC,172 - 有利砂石場 - 2024-03-04 01:37:59 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/有利砂石場/6_20240304_013759_g3CJNB8d.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/有利砂石場/6_20240304_013759_g3CJNB8d.wav
172,順揚砂石場,2026-01-09 21:00:24 UTC,172 - 順揚砂石場 - 2026-01-09 21:00:24 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/01090804.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/01090804.wav
172,順揚砂石場,2026-01-11 19:08:31 UTC,172 - 順揚砂石場 - 2026-01-11 19:08:31 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/01110828.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/01110828.wav
172,順揚砂石場,2026-01-13 18:57:30 UTC,172 - 順揚砂石場 - 2026-01-13 18:57:30 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/01130089.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/01130089.wav
172,順揚砂石場,2026-03-01 00:24:51 UTC,172 - 順揚砂石場 - 2026-03-01 00:24:51 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/03010208.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/03010208.wav
172,順揚砂石場,2025-07-04 03:47:00 UTC,172 - 順揚砂石場 - 2025-07-04 03:47:00 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/07040317.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/07040317.wav
172,順揚砂石場,2025-09-21 23:23:08 UTC,172 - 順揚砂石場 - 2025-09-21 23:23:08 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/09210008.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/09210008.wav
172,順揚砂石場,2025-09-25 00:23:55 UTC,172 - 順揚砂石場 - 2025-09-25 00:23:55 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/09250176.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/09250176.wav
172,順揚砂石場,2025-09-25 03:30:26 UTC,172 - 順揚砂石場 - 2025-09-25 03:30:26 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/09250192.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/09250192.wav
172,順揚砂石場,2025-09-28 02:52:09 UTC,172 - 順揚砂石場 - 2025-09-28 02:52:09 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/順揚有利172/順揚砂石場/09280436.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/順揚有利172/順揚砂石場/09280436.wav
